X,Y
1040,343.232
1041,330.473
1042,327.981
1043,302.962
1044,311.510
1045,309.352
1046,289.759
1047,282.257
1048,278.823
1049,271.536
1050,267.760
1051,260.603
1052,257.318
1053,251.756
1054,230.510
1055,241.357
1056,236.840
1057,238.797
1058,219.112
1059,225.475
1060,233.705
1061,211.527
1062,206.124
1063,213.151
1064,206.323
1065,195.704
1066,199.258
1067,190.965
1068,187.092
1069,194.692
1070,193.721
1071,188.193
1072,190.162
1073,183.562
1074,183.557
1075,181.699
1076,180.018
1077,182.247
1078,162.487
1079,176.066
1080,178.593
1081,176.774
1082,165.148
1083,163.789
1084,162.352
1085,160.464
1086,160.589
1087,158.794
1088,165.251
1089,151.638
1090,148.554
1091,146.379
1092,148.362
1093,149.905
1094,144.931
1095,141.577
1096,139.994
1097,147.584
1098,139.706
1099,131.117
1100,133.825
1101,138.290
1102,126.373
1103,118.444
1104,117.084
1105,121.411
1106,128.817
1107,117.220
1108,116.597
1109,116.297
1110,112.089
1111,112.517
1112,124.325
1113,116.973
1114,118.376
1115,112.874
1116,111.852
1117,111.761
1118,106.149
1119,111.406
1120,102.888
1121,108.891
1122,112.272
1123,108.723
1124,106.905
1125,112.457
1126,115.041
1127,116.857
1128,111.226
1129,115.990
1130,105.131
1131,102.668
1132,101.320
1133,113.837
1134,112.161
1135,108.873
1136,113.234
1137,108.920
1138,108.705
1139,114.638
1140,99.669
1141,104.099
1142,110.183
1143,110.389
1144,101.630
1145,100.474
1146,102.689
1147,98.911
1148,104.167
1149,109.731
1150,107.226
1151,104.613
1152,111.816
1153,112.541
1154,105.141
1155,106.750
1156,103.465
1157,111.222
1158,110.786
1159,109.631
1160,106.568
1161,104.208
1162,103.399
1163,112.404
1164,110.902
1165,110.661
1166,107.641
1167,107.129
1168,108.803
1169,107.004
1170,104.906
1171,113.399
1172,107.306
1173,105.016
1174,113.698
1175,109.570
1176,113.734
1177,114.840
1178,112.605
1179,116.173
1180,116.380
1181,102.323
1182,104.669
1183,116.788
1184,119.725
1185,119.009
1186,112.870
1187,117.264
1188,125.212
1189,129.492
1190,121.933
1191,113.646
1192,116.875
1193,114.228
1194,119.580
1195,117.040
1196,117.249
1197,128.788
1198,115.361
1199,109.282
1200,113.474
1201,126.726
1202,118.622
1203,113.154
1204,119.198
1205,119.080
1206,119.067
1207,118.760
1208,116.567
1209,111.086
1210,114.277
1211,110.229
1212,114.316
1213,108.638
1214,112.455
1215,115.128
1216,106.480
1217,109.105
1218,110.204
1219,110.025
1220,108.128
1221,106.146
1222,104.301
1223,104.241
1224,105.797
1225,99.976
1226,106.288
1227,102.119
1228,100.655
1229,92.859
1230,98.094
1231,109.737
1232,105.122
1233,102.227
1234,95.398
1235,102.669
1236,97.681
1237,103.183
1238,103.805
1239,100.731
1240,100.539
1241,97.799
1242,98.533
1243,99.051
1244,91.950
1245,93.181
1246,92.307
1247,99.486
1248,97.008
1249,92.995
1250,95.819
1251,97.350
1252,94.330
1253,98.129
1254,99.929
1255,101.348
1256,98.088
1257,99.331
1258,94.684
1259,91.954
1260,92.851
1261,91.715
1262,95.217
1263,93.413
1264,89.025
1265,82.431
1266,95.340
1267,96.772
1268,88.686
1269,95.578
1270,93.343
1271,93.494
1272,92.937
1273,88.894
1274,89.701
1275,97.408
1276,96.465
1277,99.145
1278,99.521
1279,96.243
1280,93.326
1281,90.232
1282,95.925
1283,93.971
1284,96.644
1285,100.711
1286,98.133
1287,98.957
1288,100.648
1289,94.520
1290,96.400
1291,94.027
1292,97.050
1293,97.102
1294,97.678
1295,98.476
1296,102.986
1297,99.281
1298,96.882
1299,97.165
1300,95.926
1301,93.526
1302,99.064
1303,100.685
1304,103.685
1305,98.427
1306,97.646
1307,98.334
1308,94.597
1309,94.940
1310,98.909
1311,97.926
1312,96.547
1313,95.875
1314,98.326
1315,102.948
1316,101.407
1317,99.365
1318,98.817
1319,91.953
1320,96.959
1321,91.973
1322,95.714
1323,102.684
1324,93.137
1325,94.418
1326,98.677
1327,95.703
1328,96.307
1329,96.505
1330,96.594
1331,94.559
1332,91.171
1333,90.971
1334,91.745
1335,99.744
1336,89.430
1337,86.287
1338,88.193
1339,93.022
1340,85.654
1341,91.020
1342,89.312
1343,87.911
1344,90.955
1345,94.795
1346,88.967
1347,91.483
1348,87.703
1349,89.455
1350,98.071
1351,89.811
1352,90.176
1353,89.045
1354,91.964
1355,89.723
1356,87.938
1357,85.988
1358,79.967
1359,88.827
1360,87.385
1361,89.781
1362,95.559
1363,87.487
1364,85.218
1365,91.080
1366,92.119
1367,94.401
1368,89.728
1369,88.048
1370,93.909
1371,93.950
1372,95.261
1373,96.751
1374,93.464
1375,105.017
1376,101.079
1377,99.555
1378,100.113
1379,92.372
1380,91.329
1381,95.755
1382,97.158
1383,98.026
1384,93.215
1385,99.781
1386,100.141
1387,96.197
1388,90.291
1389,94.072
1390,94.982
1391,96.389
1392,93.725
1393,89.675
1394,91.310
1395,86.726
1396,83.319
1397,95.577
1398,91.284
1399,89.036
1400,90.281
1401,96.445
1402,88.796
1403,84.871
1404,89.745
1405,89.249
1406,91.733
1407,89.972
1408,86.421
1409,90.826
1410,91.264
1411,86.274
1412,96.580
1413,93.045
1414,95.303
1415,90.373
1416,89.636
1417,89.350
1418,91.169
1419,92.279
1420,99.189
1421,95.600
1422,98.570
1423,91.501
1424,94.209
1425,94.733
1426,92.958
1427,95.194
1428,88.533
1429,92.552
1430,100.244
1431,94.245
1432,95.780
1433,94.941
1434,96.836
1435,108.988
1436,89.326
1437,92.341
1438,96.400
1439,111.702
1440,99.328
1441,101.842
1442,96.167
1443,109.666
1444,102.252
1445,97.670
1446,100.201
1447,102.614
1448,103.655
1449,101.697
1450,103.090
1451,100.987
1452,103.017
1453,102.529
1454,96.325
1455,92.530
1456,94.906
1457,93.850
1458,100.110
1459,112.890
1460,111.606
1461,98.374
1462,99.264
1463,94.353
1464,90.280
1465,90.596
1466,97.097
1467,93.636
1468,96.684
1469,100.818
1470,95.675
1471,92.249
1472,105.620
1473,103.860
1474,102.867
1475,102.125
1476,91.260
1477,96.889
1478,101.316
1479,96.367
1480,92.125
1481,96.555
1482,101.004
1483,97.235
1484,86.690
1485,90.691
1486,96.104
1487,93.798
1488,104.405
1489,104.448
1490,100.687
1491,108.758
1492,96.437
1493,99.684
1494,98.402
1495,103.800
1496,104.038
1497,98.566
1498,96.614
1499,97.671
1500,94.122
1501,98.967
1502,104.352
1503,100.317
