X,Y
419,117.996
420,114.357
421,119.057
422,118.388
423,111.964
424,114.907
425,115.462
426,108.920
427,108.281
428,100.478
429,112.060
430,107.750
431,99.019
432,98.219
433,92.133
434,88.047
435,87.012
436,84.329
437,81.670
438,85.845
439,87.565
440,90.897
441,89.986
442,97.494
443,95.134
444,97.206
445,103.716
446,101.785
447,115.004
448,123.111
449,124.766
450,121.800
451,126.140
452,135.690
453,132.893
454,136.428
455,138.061
456,134.583
457,140.989
458,138.665
459,141.074
460,137.686
461,125.062
462,120.553
463,122.210
464,114.801
465,113.812
466,109.954
467,103.205
468,100.464
469,89.104
470,93.040
471,87.454
472,90.957
473,98.104
474,93.965
475,90.108
476,79.280
477,91.878
478,89.505
479,93.896
480,90.529
481,85.033
482,91.098
483,93.432
484,95.574
485,85.962
486,87.255
487,86.705
488,86.721
489,96.665
490,87.850
491,86.954
492,89.319
493,89.681
494,87.309
495,93.238
496,96.695
497,99.123
498,103.419
499,103.552
500,107.381
501,116.315
502,121.166
503,112.345
504,122.255
505,126.000
506,128.160
507,136.398
508,138.629
509,143.509
510,153.062
511,154.703
512,154.056
513,163.735
514,171.000
515,167.425
516,181.260
517,179.532
518,181.186
519,189.579
520,190.432
521,197.046
522,195.400
523,188.006
524,192.174
525,195.353
526,192.057
527,185.835
528,181.487
529,169.313
530,177.270
531,171.466
532,171.035
533,159.540
534,151.906
535,154.103
536,140.850
537,146.582
538,141.161
539,130.033
540,128.091
541,118.932
542,124.671
543,121.395
544,116.296
545,114.551
546,115.637
547,105.337
548,111.530
549,112.335
550,106.873
551,105.941
552,100.914
553,107.023
554,111.516
555,113.529
556,112.740
557,114.604
558,126.656
559,124.979
560,123.914
561,124.299
562,136.117
563,141.742
564,145.897
565,139.355
566,139.730
567,139.500
568,147.348
569,140.856
570,142.952
571,144.767
572,137.053
573,132.671
574,117.890
575,126.696
576,119.088
577,114.898
578,115.607
579,114.343
580,106.185
581,108.381
582,101.562
583,105.644
584,91.690
585,102.637
586,104.442
587,96.132
588,99.287
589,98.707
590,103.106
591,104.622
592,108.709
593,118.459
594,113.605
595,109.326
596,119.050
597,136.326
598,126.194
599,139.158
600,145.280
601,145.911
602,149.153
603,150.141
604,157.975
605,156.465
606,165.428
607,173.165
608,159.295
609,164.366
610,158.363
611,160.328
612,167.508
613,163.187
614,169.201
615,161.110
616,160.218
617,157.860
618,147.374
619,143.044
620,137.552
621,139.900
622,128.637
623,130.271
624,117.880
625,125.938
626,119.681
627,113.567
628,107.200
629,100.029
630,101.991
631,102.736
632,97.674
633,91.478
634,90.124
635,78.166
636,92.058
637,85.660
638,78.310
639,82.725
640,83.072
641,82.339
642,73.378
643,74.721
644,74.787
645,76.779
646,75.830
647,73.178
648,71.734
649,77.289
650,73.676
651,74.950
652,71.120
653,74.874
654,77.271
655,76.342
656,78.130
657,81.151
658,82.020
659,86.011
660,81.880
661,85.324
662,95.457
663,89.256
664,90.587
665,88.306
666,93.263
667,94.547
668,95.958
669,88.045
670,90.158
671,97.547
672,101.646
673,104.301
674,104.636
675,111.228
676,123.711
677,110.068
678,113.567
679,115.444
680,114.173
681,120.504
682,124.606
683,131.598
684,134.867
685,142.068
686,146.331
687,156.388
688,158.096
689,157.724
690,159.048
691,160.015
692,163.467
693,160.849
694,183.712
695,181.834
696,191.005
697,187.568
698,180.612
699,172.701
700,163.665
701,168.105
702,157.800
703,166.885
704,155.310
705,152.289
706,146.904
707,155.260
708,144.990
709,145.590
710,129.087
711,127.261
712,128.279
713,127.394
714,121.727
715,120.149
716,130.091
717,127.050
718,108.539
719,110.817
720,120.962
721,122.791
722,115.851
723,111.206
724,104.249
725,113.391
726,119.014
727,124.757
728,125.727
729,125.435
730,125.003
731,124.940
732,127.752
733,127.550
734,128.357
735,133.868
736,132.789
737,136.437
738,122.847
739,121.387
740,126.257
741,129.988
742,129.250
743,136.857
744,134.389
745,141.101
746,140.497
747,147.279
748,150.675
749,149.246
750,151.485
751,169.328
752,149.620
753,154.757
754,160.860
755,158.751
756,164.438
757,169.917
758,163.994
759,156.804
760,158.193
761,155.775
762,152.788
763,148.323
764,146.484
765,145.379
766,147.299
767,143.802
768,141.694
769,136.529
770,129.961
771,132.514
772,130.634
773,125.363
774,127.920
775,124.476
776,125.545
777,129.727
778,133.813
779,127.231
780,130.833
781,137.965
782,131.412
783,129.824
784,132.048
785,148.396
786,145.000
787,147.321
788,141.360
789,148.263
790,143.041
791,153.060
792,152.962
793,152.733
794,162.928
795,168.518
796,164.624
797,173.599
798,174.476
799,181.972
800,185.054
801,181.641
802,201.639
803,175.845
804,191.366
805,187.561
806,189.537
807,184.330
808,183.889
809,180.569
810,180.568
811,173.726
812,163.965
813,175.378
814,164.408
815,156.780
816,159.174
817,159.343
818,156.005
819,163.374
820,152.875
821,150.421
822,152.535
823,141.847
824,140.930
825,137.700
826,136.967
827,136.942
828,135.200
829,133.220
830,131.894
831,130.042
832,125.243
833,127.957
834,123.216
835,120.294
836,109.041
837,110.368
838,93.935
839,95.914
840,97.815
841,100.702
842,92.417
843,88.753
844,90.440
845,90.543
846,81.622
