X,Y
398,386.738
399,388.905
400,387.711
401,393.175
402,409.763
403,407.497
404,405.372
405,422.871
406,427.725
407,413.707
408,439.499
409,432.305
410,433.858
411,428.735
412,435.878
413,460.974
414,473.280
415,450.849
416,467.574
417,479.632
418,460.203
419,477.491
420,475.145
421,485.962
422,481.155
423,476.479
424,492.945
425,498.286
426,498.381
427,497.244
428,516.048
429,493.725
430,507.654
431,512.427
432,503.788
433,501.501
434,509.266
435,501.959
436,501.515
437,504.570
438,491.407
439,500.996
440,514.480
441,503.145
442,506.429
443,481.167
444,481.508
445,483.967
446,483.479
447,484.607
448,487.022
449,480.255
450,473.249
451,466.779
452,464.277
453,458.197
454,455.043
455,450.174
456,435.268
457,433.704
458,438.846
459,430.231
460,420.569
461,425.958
462,421.904
463,419.731
464,407.456
465,402.602
466,406.038
467,404.214
468,395.367
469,401.124
470,392.237
471,383.716
472,380.777
473,389.439
474,383.526
475,373.739
476,378.587
477,370.069
478,383.160
479,370.745
480,363.644
481,360.562
482,387.618
483,375.295
484,367.904
485,375.381
486,374.502
487,370.759
488,377.267
489,369.556
490,371.224
491,368.251
492,363.151
493,363.622
494,360.636
495,396.140
496,390.798
497,382.394
498,385.526
499,384.317
500,386.345
501,380.093
502,361.236
503,361.592
504,391.321
505,384.513
506,378.886
507,386.275
508,399.187
509,387.484
510,385.934
511,394.873
512,401.969
513,390.334
514,396.987
515,408.553
516,411.062
517,420.943
518,424.873
519,444.452
520,454.535
521,456.358
522,463.140
523,479.053
524,488.111
525,498.230
526,517.652
527,517.815
528,533.548
529,559.264
530,581.454
531,576.049
532,581.684
533,615.799
534,647.702
535,649.145
536,680.080
537,712.024
538,720.270
539,732.574
540,784.018
541,822.892
542,856.565
543,886.161
544,890.148
545,939.909
546,978.383
547,997.901
548,1018.533
549,1043.158
550,1070.855
551,1113.748
552,1129.673
553,1154.668
554,1178.645
555,1204.666
556,1182.011
557,1192.011
558,1192.658
559,1184.202
560,1191.524
561,1215.638
562,1216.969
563,1211.322
564,1196.844
565,1179.932
566,1159.004
567,1177.565
568,1143.384
569,1108.086
570,1066.413
571,1015.323
572,995.979
573,958.059
574,930.476
575,916.865
576,861.559
577,847.577
578,808.931
579,786.559
580,735.689
581,722.588
582,721.350
583,725.847
584,725.645
585,693.959
586,680.918
587,654.351
588,631.404
589,625.081
590,606.622
591,582.482
592,544.773
593,531.776
594,531.949
595,515.964
596,514.711
597,512.601
598,496.097
599,470.878
600,468.302
601,458.047
602,462.443
603,441.518
604,431.371
605,415.731
606,416.070
607,426.227
608,421.014
609,416.943
610,425.224
611,407.372
612,399.704
613,404.449
614,391.435
615,399.177
616,393.616
617,399.384
618,389.159
619,395.251
620,388.357
621,386.361
622,382.068
623,381.821
624,386.084
625,380.613
626,371.403
627,367.317
628,375.356
629,374.525
630,370.583
631,379.815
632,373.609
633,379.509
634,378.899
635,377.843
636,388.983
637,369.160
638,369.501
639,376.391
640,378.871
641,378.265
642,409.938
643,381.216
644,392.663
645,395.438
646,393.673
647,378.740
648,382.006
649,418.886
650,426.775
651,387.921
652,412.343
653,415.406
654,417.851
655,433.009
656,420.210
657,421.890
658,417.386
659,421.615
660,430.567
661,444.075
662,425.257
663,431.683
664,434.434
665,446.681
666,439.321
667,452.817
668,464.950
669,471.117
670,466.745
671,457.762
672,463.182
673,459.538
674,479.494
675,476.595
676,465.189
677,477.678
678,481.206
679,471.367
680,486.235
681,487.332
682,486.538
683,489.559
684,499.647
685,497.637
686,503.761
687,486.872
688,482.266
689,484.635
690,494.197
691,497.117
692,495.303
693,494.221
694,484.181
695,479.876
696,481.348
697,484.072
698,480.053
699,499.064
700,474.274
701,463.473
702,454.220
703,463.063
704,467.274
705,451.774
706,458.550
707,455.310
708,432.508
709,440.580
710,447.549
711,441.861
712,447.296
713,442.242
714,450.054
715,445.557
716,425.909
717,434.802
718,439.601
719,412.520
720,415.598
721,427.215
722,425.746
723,395.675
724,415.144
725,404.241
726,406.229
727,405.567
728,397.894
729,388.433
730,385.480
731,385.000
732,382.436
733,383.522
734,378.444
735,376.932
736,375.990
737,374.335
738,383.891
739,372.469
740,380.343
741,378.098
742,359.464
743,356.997
744,382.881
745,360.301
746,362.365
747,367.291
748,361.648
749,364.702
750,364.345
751,371.397
752,375.115
753,376.572
754,370.676
755,361.128
756,362.351
757,361.231
758,371.989
759,373.485
760,377.993
761,366.313
762,377.060
763,378.587
764,373.875
765,356.003
766,370.070
767,371.188
768,373.243
769,376.397
770,372.042
771,369.766
