X,Y
1083,116.347
1084,110.633
1085,108.065
1086,114.214
1087,121.358
1088,114.491
1089,117.419
1090,116.917
1091,112.434
1092,115.121
1093,120.468
1094,121.274
1095,118.738
1096,121.248
1097,116.897
1098,116.491
1099,117.061
1100,121.964
1101,125.326
1102,123.495
1103,116.729
1104,124.238
1105,121.986
1106,123.440
1107,116.516
1108,120.847
1109,126.493
1110,121.473
1111,117.070
1112,116.020
1113,117.720
1114,131.094
1115,127.720
1116,124.812
1117,129.569
1118,124.500
1119,120.689
1120,122.409
1121,122.407
1122,125.057
1123,131.661
1124,138.798
1125,131.919
1126,133.845
1127,138.682
1128,139.942
1129,141.838
1130,132.147
1131,139.288
1132,135.048
1133,131.628
1134,129.244
1135,130.690
1136,131.873
1137,126.103
1138,124.510
1139,132.548
1140,123.545
1141,128.415
1142,129.142
1143,135.587
1144,125.833
1145,128.350
1146,128.393
1147,129.720
1148,127.689
1149,126.413
1150,120.266
1151,109.469
1152,124.698
1153,123.214
1154,120.147
1155,122.844
1156,119.778
1157,112.988
1158,114.388
1159,114.076
1160,109.919
1161,111.443
1162,115.453
1163,106.392
1164,107.343
1165,113.833
1166,120.152
1167,105.349
1168,105.253
1169,107.879
1170,108.629
1171,108.976
1172,110.757
1173,111.826
1174,106.163
1175,106.144
1176,110.375
1177,113.681
1178,104.193
1179,98.818
1180,107.212
1181,104.046
1182,102.537
1183,103.507
1184,103.138
1185,106.151
1186,104.681
1187,109.588
1188,104.525
1189,100.769
1190,101.756
1191,99.650
1192,103.908
1193,100.549
1194,109.101
1195,113.795
1196,99.238
1197,96.612
1198,91.423
1199,94.578
1200,94.697
1201,96.077
1202,92.564
1203,101.596
1204,93.723
1205,94.665
1206,103.039
1207,98.123
1208,96.639
1209,99.456
1210,94.231
1211,101.208
1212,99.332
1213,97.149
1214,97.651
1215,93.960
1216,94.894
1217,99.111
1218,94.240
1219,94.060
1220,91.277
1221,92.489
1222,98.601
1223,93.038
1224,91.775
1225,91.389
1226,100.404
1227,102.659
1228,92.006
1229,90.547
1230,85.494
1231,82.255
1232,86.508
1233,88.453
1234,92.814
1235,88.343
1236,90.519
1237,91.369
1238,86.684
1239,81.349
1240,77.564
1241,86.268
1242,92.181
1243,94.338
1244,88.296
1245,87.238
1246,81.878
1247,86.472
1248,86.066
1249,82.544
1250,85.337
1251,84.478
1252,91.932
1253,86.860
1254,88.199
1255,84.990
1256,94.207
1257,88.218
1258,86.157
1259,87.010
1260,86.052
1261,89.169
1262,78.300
1263,85.066
1264,85.745
1265,87.135
1266,98.412
1267,84.412
1268,84.412
1269,84.305
1270,86.234
1271,89.499
1272,91.448
1273,88.635
1274,87.194
1275,86.501
1276,86.559
1277,83.569
1278,85.628
1279,90.266
1280,85.600
1281,78.247
1282,83.011
1283,83.486
1284,90.611
1285,80.397
1286,76.235
1287,81.181
1288,87.245
1289,88.021
1290,85.060
1291,81.988
1292,84.230
1293,85.091
1294,92.234
1295,87.551
1296,84.360
1297,86.578
1298,81.314
1299,94.777
1300,91.122
1301,88.562
1302,94.604
1303,92.028
1304,90.454
1305,88.177
1306,94.062
1307,90.109
1308,95.574
1309,84.108
1310,84.114
1311,87.716
1312,78.518
1313,86.792
1314,91.467
1315,87.390
1316,86.062
1317,82.603
1318,81.056
1319,82.526
1320,84.423
1321,86.010
1322,82.190
1323,81.000
1324,79.925
1325,82.845
1326,86.471
1327,88.840
1328,83.947
1329,89.984
1330,88.209
1331,87.712
1332,86.781
1333,85.470
1334,81.354
1335,81.137
1336,83.418
1337,87.539
1338,78.886
1339,81.558
1340,87.131
1341,94.660
1342,76.253
1343,89.755
1344,88.767
1345,78.663
1346,85.679
1347,85.791
1348,87.794
1349,87.846
1350,87.517
1351,88.952
1352,87.298
1353,82.990
1354,90.650
1355,87.206
1356,85.000
1357,90.654
1358,90.961
1359,87.923
1360,86.295
1361,87.892
1362,86.883
1363,87.176
1364,86.126
1365,99.347
1366,92.554
1367,88.072
1368,87.359
1369,93.434
1370,90.106
1371,83.629
1372,81.995
1373,93.388
1374,94.340
1375,90.927
1376,92.753
1377,84.054
1378,84.742
1379,88.794
1380,89.765
1381,93.515
1382,89.756
1383,93.088
1384,93.737
1385,95.793
1386,96.422
1387,97.227
1388,97.703
1389,91.146
1390,89.150
1391,92.155
1392,93.114
1393,91.610
1394,88.153
1395,96.148
1396,92.184
1397,97.811
1398,98.620
1399,91.925
1400,93.622
1401,83.790
1402,90.037
1403,96.512
1404,92.272
1405,90.635
1406,87.038
1407,92.111
1408,94.260
1409,92.444
1410,98.169
1411,94.732
1412,88.320
1413,84.436
1414,94.839
1415,90.136
1416,92.065
1417,91.915
1418,99.438
1419,93.471
1420,95.129
