Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,4,
Sample Interval,0.032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,100,2
Label,,
TIME,CH1,CH2
-2.234e+01,14,-1.92
-2.230e+01,14,-2.08
-2.227e+01,14,-2.16
-2.224e+01,14,-2.56
-2.221e+01,10,-2.72
-2.218e+01,14,-2.8
-2.214e+01,14,-2.64
-2.211e+01,14,-1.68
-2.208e+01,14,-1.84
-2.205e+01,14,-2.64
-2.202e+01,14,-2.32
-2.198e+01,14,-2
-2.195e+01,10,-1.92
-2.192e+01,14,-2.48
-2.189e+01,14,-2.72
-2.186e+01,14,-2.4
-2.182e+01,14,-1.52
-2.179e+01,14,-1.76
-2.176e+01,14,-3.12
-2.173e+01,14,-3.76
-2.170e+01,14,-3.28
-2.166e+01,14,-1.36
-2.163e+01,14,-0.56
-2.160e+01,14,-0.8
-2.157e+01,10,-2.24
-2.154e+01,10,-3.12
-2.150e+01,14,-2.8
-2.147e+01,14,-1.44
-2.144e+01,14,-0.56
-2.141e+01,14,-1.28
-2.138e+01,14,-2.88
-2.134e+01,10,-3.44
-2.131e+01,14,-2.08
-2.128e+01,14,-1.76
-2.125e+01,14,-2.48
-2.122e+01,14,-3.12
-2.118e+01,14,-2.4
-2.115e+01,10,-1.36
-2.112e+01,14,9.53674e-08
-2.109e+01,10,0.0800001
-2.106e+01,14,-1.6
-2.102e+01,14,-2.88
-2.099e+01,14,-3.04
-2.096e+01,14,-2.16
-2.093e+01,14,-1.6
-2.090e+01,14,-1.28
-2.086e+01,18,-2.32
-2.083e+01,14,-2.72
-2.080e+01,14,-3.04
-2.077e+01,14,-2.56
-2.074e+01,14,-1.76
-2.070e+01,14,-0.88
-2.067e+01,18,-1.36
-2.064e+01,14,-1.92
-2.061e+01,14,-2.08
-2.058e+01,18,-1.68
-2.054e+01,14,-1.92
-2.051e+01,18,-2.56
-2.048e+01,14,-2.32
-2.045e+01,18,-2.32
-2.042e+01,14,-2.72
-2.038e+01,14,-1.76
-2.035e+01,18,-1.2
-2.032e+01,18,-2.24
-2.029e+01,18,-3.36
-2.026e+01,18,-2.64
-2.022e+01,18,-1.12
-2.019e+01,18,-1.44
-2.016e+01,14,-2.24
-2.013e+01,18,-2.48
-2.010e+01,14,-2.24
-2.006e+01,18,-2.16
-2.003e+01,18,-2.08
-2.000e+01,18,-2.72
-1.997e+01,18,-3.28
-1.994e+01,14,-3.68
-1.990e+01,14,-3.36
-1.987e+01,18,-2.08
-1.984e+01,18,-1.76
-1.981e+01,18,-2.72
-1.978e+01,18,-1.36
-1.974e+01,18,-0.64
-1.971e+01,14,-0.72
-1.968e+01,18,-1.84
-1.965e+01,18,-3.36
-1.962e+01,18,-3.76
-1.958e+01,18,-3.76
-1.955e+01,18,-2.32
-1.952e+01,18,-2.16
-1.949e+01,18,-2.24
-1.946e+01,18,-1.92
-1.942e+01,18,-2.16
-1.939e+01,18,-2.16
-1.936e+01,18,-2
-1.933e+01,18,-2.24
-1.930e+01,18,-2.72
-1.926e+01,18,-2.72
-1.923e+01,18,-2
-1.920e+01,18,-1.2
-1.917e+01,18,-1.52
-1.914e+01,18,-1.6
-1.910e+01,18,-1.92
-1.907e+01,18,-2.4
-1.904e+01,14,-2.72
-1.901e+01,18,-2.72
-1.898e+01,18,-3.28
-1.894e+01,18,-2.96
-1.891e+01,18,-1.92
-1.888e+01,14,-1.12
-1.885e+01,18,-1.2
-1.882e+01,18,-1.36
-1.878e+01,18,-1.2
-1.875e+01,18,-1.36
-1.872e+01,18,-1.12
-1.869e+01,18,-1.12
-1.866e+01,18,-1.92
-1.862e+01,18,-1.92
-1.859e+01,18,-1.52
-1.856e+01,18,-1.36
-1.853e+01,22,-1.36
-1.850e+01,18,-1.92
-1.846e+01,22,-2.4
-1.843e+01,22,-2.24
-1.840e+01,18,-2.72
-1.837e+01,18,-3.04
-1.834e+01,18,-3.2
-1.830e+01,18,-2.64
-1.827e+01,18,-1.84
-1.824e+01,22,-1.92
-1.821e+01,18,-1.6
-1.818e+01,18,-1.68
-1.814e+01,18,-2.24
-1.811e+01,22,-1.76
-1.808e+01,22,-1.6
-1.805e+01,18,-2
-1.802e+01,22,-1.84
-1.798e+01,18,-2.16
-1.795e+01,22,-2.16
-1.792e+01,18,-1.76
-1.789e+01,22,-1.6
-1.786e+01,22,-1.28
-1.782e+01,22,-2.24
-1.779e+01,18,-3.04
-1.776e+01,22,-2.56
