FrameNumber,Spot ID,X,Y,Z,Radius,Orientation (if meaningful),Length (if meaningful), Fit Background (for FIONA), Gaussian Summed Value (for FIONA), Mean Background (FIONA), Summed Value (for FIONA)
25, 4, 960.718750,172.125000,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
26, 0, 1101.531250,583.250000,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
26, 1, 940.281250,783.500000,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
26, 2, 601.187500,760.218750,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
26, 3, -4.937500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
26, 4, 959.250000,172.343750,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
27, 0, 1101.187500,582.843750,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
27, 1, 938.468750,786.281250,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
27, 2, 598.312500,757.687500,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
27, 3, -4.937500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
27, 4, 958.343750,172.531250,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
28, 0, 1101.312500,582.937500,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
28, 1, 937.187500,782.312500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
28, 2, 599.031250,755.593750,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
28, 3, -4.937500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
28, 4, 957.781250,174.500000,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
29, 0, 1101.687500,582.937500,0.000000, 12.727900, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
29, 1, 936.375000,783.687500,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
29, 2, 596.687500,758.312500,0.000000, 10.214139, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
29, 3, -4.937500,811.343750,0.000000, 12.206600, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
29, 4, 957.281250,171.406250,0.000000, 12.530000, 0.000000,0.000000, 0.000000,0.000000, 0.000000,0.000000
