Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,10
Label,,
TIME,CH1,CH2
-1.142e+00,28,0.8
-1.139e+00,27.6,0.4
-1.136e+00,28.4,0.8
-1.133e+00,28.4,0.8
-1.130e+00,28,0.8
-1.126e+00,28.4,0.4
-1.123e+00,28.4,0.8
-1.120e+00,28.4,0.4
-1.117e+00,28.8,0.4
-1.114e+00,28.8,0.4
-1.110e+00,29.2,0.8
-1.107e+00,28.8,0.8
-1.104e+00,28.8,0.8
-1.101e+00,28.8,0.8
-1.098e+00,28.8,0.8
-1.094e+00,29.2,0.8
-1.091e+00,29.6,0.8
-1.088e+00,29.2,0.8
-1.085e+00,29.6,0.8
-1.082e+00,29.6,0.8
-1.078e+00,29.2,0.8
-1.075e+00,29.6,0.8
-1.072e+00,29.6,0.4
-1.069e+00,29.6,0.8
-1.066e+00,29.6,0.8
-1.062e+00,30,0.8
-1.059e+00,30,0.8
-1.056e+00,30,0.4
-1.053e+00,30,0.4
-1.050e+00,30,0.8
-1.046e+00,29.6,0.8
-1.043e+00,30.4,0.8
-1.040e+00,29.6,0.8
-1.037e+00,30,0.8
-1.034e+00,30,0.8
-1.030e+00,30,0.8
-1.027e+00,30.4,0.8
-1.024e+00,30.4,0.8
-1.021e+00,30.4,0.8
-1.018e+00,30.4,0.4
-1.014e+00,30.8,0.4
-1.011e+00,30.8,0.4
-1.008e+00,30.8,0.4
-1.005e+00,30.8,0.8
-1.002e+00,30.8,0.8
-9.984e-01,30.8,0.4
-9.952e-01,30.8,0.8
-9.920e-01,31.2,0.4
-9.888e-01,31.2,0.4
-9.856e-01,30.8,0.8
-9.824e-01,31.2,0.4
-9.792e-01,31.2,0.8
-9.760e-01,31.2,0.8
-9.728e-01,31.2,0.8
-9.696e-01,31.6,0.8
-9.664e-01,31.2,0.8
-9.632e-01,31.6,0.4
-9.600e-01,31.6,0.4
-9.568e-01,31.6,0.4
-9.536e-01,32,0.8
-9.504e-01,31.6,0.4
-9.472e-01,31.6,0.8
-9.440e-01,32,0.4
-9.408e-01,32,0.8
-9.376e-01,32,0.8
-9.344e-01,32.4,0.4
-9.312e-01,32,0.8
-9.280e-01,32,0.8
-9.248e-01,32,0.4
-9.216e-01,32,0.4
-9.184e-01,32.4,0.8
-9.152e-01,32.4,0.8
-9.120e-01,32.4,0.8
-9.088e-01,32.8,0.8
-9.056e-01,32.4,0.8
-9.024e-01,32.8,0.8
-8.992e-01,32.8,0.8
-8.960e-01,32.8,0.8
-8.928e-01,32.4,0.4
-8.896e-01,32.8,0.8
-8.864e-01,32.8,0.8
-8.832e-01,32.8,0.4
-8.800e-01,33.2,0.8
-8.768e-01,33.2,0.8
-8.736e-01,33.2,0.8
-8.704e-01,33.2,0.8
-8.672e-01,33.6,0.8
-8.640e-01,33.6,0.8
-8.608e-01,33.2,0.8
-8.576e-01,33.2,0.4
-8.544e-01,33.6,0.4
-8.512e-01,33.6,0.4
-8.480e-01,33.6,0.8
-8.448e-01,33.6,0.8
-8.416e-01,34,0.8
-8.384e-01,34,0.8
-8.352e-01,34,0.8
-8.320e-01,34,0.8
-8.288e-01,34.4,0.4
-8.256e-01,34,0.4
