Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.4,
Sample Interval,0.0032,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,10,10
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,5
Label,,
TIME,CH1,CH2
-2.339e+00,12,1
-2.336e+00,10.8,0.8
-2.333e+00,12.8,0.8
-2.330e+00,12.4,0.8
-2.326e+00,12,0.6
-2.323e+00,12.4,0.8
-2.320e+00,12.4,0.6
-2.317e+00,12.8,0.6
-2.314e+00,12.8,0.6
-2.310e+00,12.8,0.6
-2.307e+00,12.8,0.4
-2.304e+00,13.6,0.4
-2.301e+00,14,0.2
-2.298e+00,13.2,0
-2.294e+00,13.2,0.2
-2.291e+00,12.8,0
-2.288e+00,13.2,0.2
-2.285e+00,12.8,0.2
-2.282e+00,13.2,0.4
-2.278e+00,12.8,0.4
-2.275e+00,13.6,0.4
-2.272e+00,13.6,0.4
-2.269e+00,13.6,0.4
-2.266e+00,13.6,0.4
-2.262e+00,13.6,0.2
-2.259e+00,13.6,0.2
-2.256e+00,14,0.2
-2.253e+00,14.4,0.4
-2.250e+00,14,0.4
-2.246e+00,13.6,0.4
-2.243e+00,14,0.4
-2.240e+00,14,0.4
-2.237e+00,14.8,0.4
-2.234e+00,14,0.4
-2.230e+00,14.8,0.4
-2.227e+00,14.4,0.4
-2.224e+00,14,0.6
-2.221e+00,14,0.6
-2.218e+00,14,0.8
-2.214e+00,14.8,1
-2.211e+00,14.4,1
-2.208e+00,14.4,1.2
-2.205e+00,14.8,1.2
-2.202e+00,14.8,1.2
-2.198e+00,14.4,1.4
-2.195e+00,14.4,1.4
-2.192e+00,14.8,1.6
-2.189e+00,14.8,1.6
-2.186e+00,14.8,1.8
-2.182e+00,14.8,1.8
-2.179e+00,15.2,2
-2.176e+00,15.2,2
-2.173e+00,15.6,2
-2.170e+00,15.2,1.8
-2.166e+00,16,2
-2.163e+00,15.6,2
-2.160e+00,15.6,1.8
-2.157e+00,14.8,1.8
-2.154e+00,15.6,2
-2.150e+00,15.2,2
-2.147e+00,15.2,2
-2.144e+00,16,2
-2.141e+00,15.6,2
-2.138e+00,15.6,1.8
-2.134e+00,15.6,1.8
-2.131e+00,16,1.6
-2.128e+00,16,1.4
-2.125e+00,16,1.4
-2.122e+00,16.4,1.4
-2.118e+00,16,1.2
-2.115e+00,16,1.4
-2.112e+00,16.4,1.2
